"Author","Number of affiliations","Affiliations"
"Chamkha A.J.","1","Mechanical Engineering Department, Prince Mohammad Endowment for Nanoscience and Technology, Prince Mohammad Bin Fahd University, Al-Khobar, 31952, Saudi Arabia"
"Cui Y.","1","Department of Built Environment, College of Engineering and Technology, University of Derby, Derby, DE22 3AW, United Kingdom"
"Ketineni S.","1","Department of Applied Mathematics, Yogi Vemana University, Kadapa, 516005, India"
"Polu B.A.R.","1","Department of Mathematics, School of Advanced Sciences, VIT, Vellore, 632014, India"
"Sangapatnam S.","1","Department of Applied Mathematics, Yogi Vemana University, Kadapa, 516005, India"
"Selimefendigil F.","1","Department of Mechanical Engineering, Celal Bayar University, Manisa, 45140, Turkey"
"Zhang J.","1","School of Qilu Transportation, Shandong University, Jinan, 250061, China"
"Zhu J.","1","Department of Architecture and Built Environment, University of Nottingham, Nottingham, NG7 2RD, United Kingdom"
"Zoras S.","1","Department of Built Environment, College of Engineering and Technology, University of Derby, Derby, DE22 3AW, United Kingdom"
"Öztop H.F.","1","Department of Mechanical Engineering, Technology Faculty, Fırat University, Elazığ, 23119, Turkey"
